,ItemName,Limit-L,Limit-H,Bias1,Bias2,RV,SeqItemName,SeqLimit-L,SeqLimit-H,SeqBias1,SeqBias2,SeqRV
1,VTH,4.6,,25.0m,0.0p,,2,3,,2,2,2
3,ISGS,,0.1m,42.0,,,4,,4,4,,4
4,ISGS,,0.1m,42.0,,RV,5,,5,5,,5
5,ISGS,,100n,25.0,,,6,,6,6,,6
6,ISGS,,100n,25.0,,RV,7,,7,7,,7
7,HVICES,,1u,810.0,,,8,,8,8,,8
8,HVICES,,1u,1.01k,,,9,,9,9,,9
9,HVICES,,1u,1.21k,,,10,,10,10,,10
10,ABSDEL,,0.5u,9.0,8.0,,11,,11,11,11,11
11,ABSDEL,,0.7u,10.0,8.0,,12,,12,12,12,12
16,VTH,4.6,7.4,25.0m,0.0p,,17,18,17,17,17,17
18,ABSDEL,,0.1,2.0,17.0,,19,,19,19,19,19
19,HVDSON,0.3,1.5,2.5,15.0,,20,21,20,20,20,20
21,HVDSON,1.7,2.2,25.0,15.0,,22,23,22,22,22,22
23,VFEC,0.1,0.7,100.0u,0.0p,,24,25,24,24,24,24
25,VFEC,0.3,1.5,2.5,0.0p,,26,27,26,26,26,26
27,HVFEC,1.6,2.48,25.0,0.0p,RV,28,29,28,28,28,28
29,HVICES,,1u,1.2k,,,30,,30,30,,30
30,ISGS,,100n,25.0,,,31,,31,31,,31
31,ISGS,,100n,25.0,,RV,32,,32,32,,32
